Power (J=31) X,Power (J=31) YRe,Power (J=31) YReImag,Power (J=63) X,Power (J=63) YRe,Power (J=63) YReImag,Power (J=127) X,Power (J=127) YRe,Power (J=127) YReImag,Power (J=255) X,Power (J=255) YRe,Power (J=255) YReImag,Power (J=383) X,Power (J=383) YRe,Power (J=383) YReImag,Power (J=511) X,Power (J=511) YRe,Power (J=511) YReImag,Power (J=639) X,Power (J=639) YRe,Power (J=639) YReImag,Power (J=767) X,Power (J=767) YRe,Power (J=767) YReImag,Power (J=895) X,Power (J=895) YRe,Power (J=895) YReImag,Power (J=989) X,Power (J=989) YRe,Power (J=989) YReImag
2441406.25,-2.296116475282338e-05,7.553223297459543e-05,2441406.25,7.55326523666869e-05,1.600210570331637e-05,2441406.25,0.0002403132319009771,5.748253697954436e-06,2441406.25,0.0004875317676549596,1.361536489267414e-07,2441406.25,0.0006491195929360599,-9.044995073797007e-07,2441406.25,0.0006996289432733865,3.345307709439004e-06,2441406.25,0.0006668373582128525,3.356518435693829e-07,2441406.25,0.0005158040128911373,-8.212071475998726e-07,2441406.25,0.0002859810914442888,1.654728429699544e-06,2441406.25,8.617951004794881e-05,-7.27902269075922e-07
2563476.5625,-4.865504104632881e-05,-0.0001083425390941865,2563476.5625,6.978501217492033e-05,-0.0002034416552729359,2563476.5625,0.0002295302130010825,-2.682261543554953e-05,2563476.5625,0.0004602952022069177,-0.0003192010882366143,2563476.5625,0.0006556888026901846,0.0001470712456549508,2563476.5625,0.0007047659736211157,8.118782520235947e-05,2563476.5625,0.0006665138080170112,0.0001013248522178067,2563476.5625,0.0004998136046464721,-0.0001863873691611117,2563476.5625,0.0002776261996831721,-0.0001206505603087626,2563476.5625,9.030638109622748e-05,0.0001662679688094123
2685546.875,-1.649270664832666e-05,7.171264614361285e-05,2685546.875,6.695095564257904e-05,5.784850542544535e-06,2685546.875,0.0002311711146314186,5.05438463568934e-06,2685546.875,0.0004755495663716186,-2.236215103234328e-06,2685546.875,0.0006405795496650876,3.12579959989226e-06,2685546.875,0.0006968916831197133,8.978406699888158e-07,2685546.875,0.0006509683303027188,1.205474179583204e-06,2685546.875,0.0005046115020203905,6.083530689053202e-07,2685546.875,0.0002736645277281717,1.395025655189562e-06,2685546.875,7.360970761521621e-05,-5.957621026700778e-08
2807617.1875,-6.811895124667801e-06,6.400840265752908e-05,2807617.1875,9.614405692995343e-05,0.0001871570684611261,2807617.1875,0.0002342137382054256,3.61338712658547e-05,2807617.1875,0.0004902014525100849,0.0001444005631560293,2807617.1875,0.000626793199803914,-0.0001428827634763622,2807617.1875,0.0006904300101074785,-0.0001272369411023253,2807617.1875,0.0006748811922125273,0.000250083233396246,2807617.1875,0.000497811333468546,-0.0002433707605757747,2807617.1875,0.0002672582476996885,-0.0002069112879182385,2807617.1875,7.391084889281011e-05,-3.332389545253063e-05
2929687.5,-2.229367234756717e-05,9.267935000917404e-05,2929687.5,8.466684525260122e-05,9.677868942839584e-06,2929687.5,0.0002455922343930949,6.653584929776716e-06,2929687.5,0.0004850646397840947,1.110249095206233e-06,2929687.5,0.0006485549761672018,1.447785041705746e-06,2929687.5,0.0007109286794558205,-4.103528586587466e-06,2929687.5,0.0006675176477200775,8.62025482247466e-07,2929687.5,0.0005176554941980156,-3.589203537027094e-07,2929687.5,0.0002836260357176429,-5.609104807919071e-08,2929687.5,8.626570922696641e-05,-1.115276081679238e-06
3051757.8125,-1.533000532666098e-05,5.499080800616258e-05,3051757.8125,8.240561495041757e-05,8.568339937611328e-05,3051757.8125,0.0002260255732070835,3.101844322168581e-05,3051757.8125,0.0004925586574439988,0.0001242295574886211,3051757.8125,0.0006264548152311,-0.0001621519056860528,3051757.8125,0.0006895636069416154,-7.204911243932462e-05,3051757.8125,0.0006493868539710056,-0.0001297777620613242,3051757.8125,0.0005184970205786866,6.480739786017419e-05,3051757.8125,0.000291129107011671,9.168046269640212e-05,3051757.8125,6.774893216898939e-05,-8.826219230402549e-05
3173828.125,1.871639315684508e-07,0.000117678670596954,3173828.125,8.609050982752019e-05,1.51448868722446e-05,3173828.125,0.0002287116081611487,1.022477318766333e-05,3173828.125,0.0004811977264439823,-9.975443582881813e-07,3173828.125,0.0006325011210336627,4.228640285191992e-07,3173828.125,0.0006965735063076333,5.161491190818386e-07,3173828.125,0.0006586489741078581,1.748481572908763e-06,3173828.125,0.0005048769573829238,7.846247013775973e-07,3173828.125,0.0002748458251277145,-1.616749426486786e-07,3173828.125,7.546745886135076e-05,-5.477465327650153e-07
3295898.4375,-1.37956429318709e-06,0.0002444724583086759,3295898.4375,7.965717473788832e-05,-3.852206898563653e-05,3295898.4375,0.0002143479834198829,-0.0002345436990770453,3295898.4375,0.0004794509467392328,-3.427694256174868e-05,3295898.4375,0.0006393292233232016,-7.39221523617805e-05,3295898.4375,0.0007040178584354604,7.190896993813339e-05,3295898.4375,0.0006532830330517348,-9.336208775959716e-05,3295898.4375,0.0005112338364616264,-3.114756158562194e-05,3295898.4375,0.0002913944626030769,7.307792061944235e-05,3295898.4375,7.70741414811911e-05,-5.966733142674335e-05
3417968.75,2.399080372396326e-05,0.0001490702030250472,3417968.75,9.14216712249694e-05,2.486042796582768e-05,3417968.75,0.0002357892569379159,3.141813926733084e-06,3417968.75,0.000489057013812176,4.160059301042776e-07,3417968.75,0.0006472348931814441,2.19942350906538e-07,3417968.75,0.0007063995477849921,1.257137430090606e-06,3417968.75,0.0006668626803112828,-2.867149588984102e-06,3417968.75,0.0005155899011557064,-8.741228338027339e-07,3417968.75,0.0002862221782694942,-6.492591113243521e-07,3417968.75,8.68588356021105e-05,-4.355766958067688e-07
3540039.0625,3.242716387119092e-05,0.0002484409809900469,3540039.0625,6.264767248383844e-05,-5.192613314265333e-05,3540039.0625,0.0002323875123504406,9.172518273675404e-05,3540039.0625,0.000481656555391754,3.256450129461038e-05,3540039.0625,0.0006375987845959395,-3.43604819871561e-05,3540039.0625,0.0007062336683001041,8.589408191784041e-05,3540039.0625,0.0006677546764246288,5.624896481832615e-05,3540039.0625,0.0005198919436426938,9.512782282032175e-05,3540039.0625,0.0002872550925541348,4.048056355748027e-05,3540039.0625,8.144382558228228e-05,5.056901576153735e-05
3662109.375,4.586168776045822e-05,0.000141401756276378,3662109.375,6.545200582909699e-05,2.703731143338926e-05,3662109.375,0.0002248155120348467,9.036343544290746e-06,3662109.375,0.0004768777990555522,4.934405115740278e-07,3662109.375,0.0006398421924050858,1.123365182765946e-06,3662109.375,0.0006924460619904829,2.560668307049097e-06,3662109.375,0.0006558220724973814,-2.275250837134084e-06,3662109.375,0.0005048989531250179,-3.474104873005602e-07,3662109.375,0.0002756406388134849,1.457765200819351e-06,3662109.375,7.355238920798206e-05,-6.350302127535465e-07
3784179.6875,-0.06770517775630291,-0.7097599489109305,3784179.6875,9.08827752194376e-05,0.0002841654382651298,3784179.6875,0.0002507127712462629,-2.299604058591951e-05,3784179.6875,0.0004727313568321369,-8.923220793993265e-05,3784179.6875,0.0006282717584066347,-6.945254085284382e-05,3784179.6875,0.0006787649996837337,-0.0001815922819879415,3784179.6875,0.0006869753315121318,0.0002798397740915154,3784179.6875,0.0005027832975728963,-0.0001036472715926349,3784179.6875,0.0002823631105737276,-1.634284837081907e-05,3784179.6875,0.0001002135272763961,0.0002206137185258436
3906250,8.58819295969984e-05,0.0001374910333676532,3906250,5.536630939897504e-05,2.791102249573395e-05,3906250,0.0002416436740170868,1.625303926040683e-05,3906250,0.0004821996047933539,-1.531099410482313e-06,3906250,0.0006561790421134613,-4.666396408694622e-06,3906250,0.0007075845386466962,4.975456758480909e-06,3906250,0.0006702579431784395,3.877991736207593e-07,3906250,0.000507197446698691,1.113926167847479e-06,3906250,0.0002805426758565549,1.091030582667354e-06,3906250,8.507407986771427e-05,-7.65261834972334e-07
4028320.3125,0.0001071231971623197,0.0001589803181311908,4028320.3125,7.328147674857205e-05,5.055386260832554e-05,4028320.3125,0.0002286086816541003,-8.333335250260807e-05,4028320.3125,0.0004766057184636431,-4.496570860329186e-05,4028320.3125,0.000626580806411685,-9.535425274802192e-05,4028320.3125,0.0006758149500975909,-0.000238906944983944,4028320.3125,0.0006707155586539216,0.0001140271195967997,4028320.3125,0.0005126281906012746,-2.10195359309581e-05,4028320.3125,0.0002822111086457078,-3.487137744661778e-05,4028320.3125,8.106738848497925e-05,4.004008804487364e-05
4150390.625,0.0001027136585780007,0.0001431995393934895,4150390.625,4.335876720113398e-05,5.332135464802296e-06,4150390.625,0.0002268565136545365,-9.930035534599522e-07,4150390.625,0.0004760475959314195,9.503756712904782e-07,4150390.625,0.0006351083624857257,1.165355384683124e-06,4150390.625,0.0006984614755439236,2.31590169059503e-06,4150390.625,0.0006583371597961563,-1.949610335531142e-06,4150390.625,0.0005043830801200243,9.71780572866513e-07,4150390.625,0.0002727378194643717,9.778128248032974e-07,4150390.625,7.162157142313297e-05,8.361465490386278e-07
